,ema_fast,ema_slow,rsi_long,rsi_short,total_return,cagr,sharpe,sortino,max_dd,profit_factor,trades
893,12,30,55,35,-0.59,-0.1,0.2916,0.3638,-74.96,1.0101,162
894,15,150,55,40,-0.4,-0.07,0.2898,0.3618,-81.97,1.0101,28
895,25,75,55,30,-1.46,-0.24,0.2872,0.3623,-83.63,1.01,34
896,15,30,55,40,-2.29,-0.38,0.2865,0.3573,-80.52,1.0099,94
897,10,200,55,35,4.01,0.66,0.286,0.3433,-80.05,1.0104,44
898,12,100,50,40,-2.15,-0.36,0.2848,0.3605,-70.67,1.0099,15
899,8,50,50,40,-2.27,-0.38,0.2846,0.3563,-83.49,1.0099,23
900,10,200,50,30,2.63,0.43,0.2819,0.3386,-73.42,1.0103,24
901,20,150,50,45,10.76,1.72,0.2789,0.3251,-66.56,1.0104,3
902,12,50,65,30,-5.39,-0.92,0.2778,0.3467,-93.05,1.0096,366
903,5,30,55,45,-7.61,-1.31,0.2708,0.338,-93.5,1.0093,293
904,5,20,70,45,-7.85,-1.35,0.2706,0.3416,-94.18,1.0093,617
905,25,75,55,35,-9.64,-1.68,0.2624,0.3309,-83.63,1.0091,34
906,5,20,50,40,-10.5,-1.83,0.2614,0.3297,-84.54,1.009,62
907,10,30,65,35,-10.78,-1.88,0.2613,0.3307,-87.01,1.009,545
908,12,20,55,45,-11.05,-1.93,0.2598,0.3242,-94.38,1.009,175
909,20,100,55,30,-11.7,-2.05,0.2565,0.3207,-89.51,1.0089,20
910,5,50,50,50,-12.66,-2.23,0.2534,0.3155,-85.66,1.0088,25
911,15,20,70,30,-13.46,-2.38,0.253,0.3203,-87.5,1.0087,677
912,15,20,60,35,-13.75,-2.44,0.2516,0.3162,-89.78,1.0087,478
913,10,20,65,35,-14.99,-2.67,0.2479,0.3152,-89.78,1.0085,733
914,8,150,55,45,-15.11,-2.69,0.2454,0.3049,-94.39,1.0085,39
915,20,50,55,40,-15.96,-2.86,0.2435,0.3046,-91.6,1.0084,40
916,10,30,60,30,-16.4,-2.94,0.2427,0.3062,-89.88,1.0084,472
917,15,20,65,35,-16.74,-3.01,0.2417,0.3054,-88.46,1.0083,579
918,20,200,65,30,-16.63,-2.99,0.2401,0.2995,-88.23,1.0083,102
919,12,20,55,40,-17.62,-3.18,0.2381,0.298,-91.56,1.0082,264
920,10,20,70,35,-17.94,-3.24,0.2381,0.302,-89.36,1.0082,773
921,20,50,55,35,-18.08,-3.27,0.2362,0.2971,-79.87,1.0082,44
922,8,100,50,50,-17.81,-3.22,0.2348,0.2912,-84.34,1.0082,12
923,5,20,55,45,-18.74,-3.4,0.2345,0.2941,-96.13,1.0081,436
924,8,20,65,35,-19.33,-3.52,0.2334,0.2967,-91.06,1.008,839
925,12,30,65,30,-19.4,-3.53,0.2325,0.2933,-88.45,1.008,525
926,10,20,60,35,-19.48,-3.55,0.2323,0.2939,-91.38,1.008,625
927,8,30,55,35,-19.86,-3.62,0.2305,0.2864,-93.3,1.008,272
928,10,200,55,50,-14.81,-2.64,0.2251,0.2695,-92.12,1.0082,7
929,15,150,55,45,-19.3,-3.51,0.2238,0.2704,-84.89,1.008,11
930,10,30,65,30,-22.05,-4.07,0.2231,0.2819,-88.65,1.0077,595
931,12,20,55,30,-22.7,-4.2,0.2202,0.2751,-91.08,1.0076,312
