Date,Content,Video title,Video publish time,Duration,Average view duration
2021-05-29,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-30,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-05-31,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-01,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-02,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-03,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-04,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-05,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-06,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-07,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-08,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-09,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-10,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-11,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-12,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-13,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-14,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-15,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-16,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-17,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-18,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-19,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-20,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-21,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-22,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-23,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-24,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-25,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-26,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-27,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-28,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-29,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-06-30,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-01,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-02,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-03,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-04,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-05,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-06,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-07,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-08,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-09,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
2021-07-10,2SG1BAItYMg,"""ช่างภาพงานแต่ง"" อาชีพที่ดูสวยหรู แต่เบื้องหลังแลกมาด้วยอะไร? | What the job S3 EP.1","Apr 23, 2026",2277,0:00:00
